chave_acesso,fiscal_doc_no,series_no,location_id,chave_aux,status,data_consulta,protocolo,checkbox,codigo,numero_documento,chave_consulta,tipo_documento,data_processamento,icone1,icone2,icone3,icone4,icone5,valor_total,valor_oculto,data_emissao,id_interno,nome_empresa,oculto,observacao,status_limpo,observacao_completa,cor_status,checkbox_value
47508411160439,23392,110,100,NF001,Rejeitado,21/10/2025 17:33:20,0,,110,000023392,47508411160439,DPEC/EPEC,09/10/2025 07:30:26,,,,,,"R$ 5,31",,13/10/2025 12:06:35,12059761,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691724
26251047508411160439551100000233831341539596,23383,110,100,NF002,Não tem nota,21/10/2025 17:33:20,126250111612300,,,,,,,,,,,,,,,,,,,,,,
47508411160439,23426,110,100,NF003,Rejeitado,21/10/2025 17:33:20,0,,110,000023426,47508411160439,DPEC/EPEC,09/10/2025 07:30:42,,,,,,"R$ 12,08",,13/10/2025 12:07:11,12059893,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691796
47508411160439,23447,110,100,NF004,Rejeitado,21/10/2025 17:33:20,0,,110,000023447,47508411160439,DPEC/EPEC,09/10/2025 07:30:48,,,,,,"R$ 2,86",,13/10/2025 12:07:05,12059901,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691784
47508411160439,23413,110,100,NF005,Rejeitado,21/10/2025 17:33:20,0,,110,000023413,47508411160439,DPEC/EPEC,09/10/2025 07:30:37,,,,,,"R$ 69,21",,13/10/2025 12:08:06,12059819,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691899
47508411160439,23425,110,100,NF006,Rejeitado,21/10/2025 17:33:20,0,,110,000023425,47508411160439,DPEC/EPEC,09/10/2025 07:30:42,,,,,,"R$ 45,72",,13/10/2025 12:07:50,12059824,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691869
47508411160439,23433,110,100,NF007,Rejeitado,21/10/2025 17:33:20,0,,110,000023433,47508411160439,DPEC/EPEC,09/10/2025 07:30:44,,,,,,"R$ 14,64",,13/10/2025 12:07:50,12059827,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691870
47508411160439,23437,110,100,NF008,Rejeitado,21/10/2025 17:33:20,0,,110,000023437,47508411160439,DPEC/EPEC,09/10/2025 07:30:46,,,,,,"R$ 48,57",,13/10/2025 12:08:13,12059909,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691908
47508411160439,23451,110,100,NF009,Rejeitado,21/10/2025 17:33:20,0,,110,000023451,47508411160439,DPEC/EPEC,09/10/2025 07:30:49,,,,,,"R$ 8,67",,13/10/2025 12:07:50,12059913,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691868
47508411160439,23459,110,100,NF010,Rejeitado,21/10/2025 17:33:20,0,,110,000023459,47508411160439,DPEC/EPEC,09/10/2025 07:30:52,,,,,,"R$ 1,46",,13/10/2025 12:07:48,12059917,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691865
47508411160439,23461,110,100,NF011,Rejeitado,21/10/2025 17:33:20,0,,110,000023461,47508411160439,DPEC/EPEC,09/10/2025 07:30:52,,,,,,"R$ 8,95",,13/10/2025 12:07:03,12059933,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691781
47508411160439,23472,110,100,NF012,Rejeitado,21/10/2025 17:33:20,0,,110,000023472,47508411160439,DPEC/EPEC,09/10/2025 07:30:56,,,,,,"R$ 1,86",,13/10/2025 12:07:09,12059940,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691791
47508411160439,23474,110,100,NF013,Rejeitado,21/10/2025 17:33:20,0,,110,000023474,47508411160439,DPEC/EPEC,09/10/2025 07:30:56,,,,,,"R$ 8,04",,13/10/2025 12:08:10,12059921,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691904
47508411160439,23484,110,100,NF014,Rejeitado,21/10/2025 17:33:20,0,,110,000023484,47508411160439,DPEC/EPEC,09/10/2025 07:31:00,,,,,,"R$ 13,86",,13/10/2025 12:08:06,12059924,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691896
47508411160439,23486,110,100,NF015,Rejeitado,21/10/2025 17:33:20,0,,110,000023486,47508411160439,DPEC/EPEC,09/10/2025 07:31:00,,,,,,"R$ 19,03",,13/10/2025 12:07:54,12059926,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691876
47508411160439,23496,110,100,NF016,Rejeitado,21/10/2025 17:33:20,0,,110,000023496,47508411160439,DPEC/EPEC,09/10/2025 07:31:04,,,,,,"R$ 90,45",,13/10/2025 12:07:52,12059968,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691871
47508411160439,23503,110,100,NF017,Rejeitado,21/10/2025 17:33:20,0,,110,000023503,47508411160439,DPEC/EPEC,09/10/2025 07:31:06,,,,,,"R$ 33,71",,13/10/2025 12:07:56,12059971,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691879
47508411160439,23504,110,100,NF018,Rejeitado,21/10/2025 17:33:20,0,,110,000023504,47508411160439,DPEC/EPEC,09/10/2025 07:31:06,,,,,,"R$ 15,29",,13/10/2025 12:07:58,12059972,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691881
47508411160439,23505,110,100,NF019,Rejeitado,21/10/2025 17:33:20,0,,110,000023505,47508411160439,DPEC/EPEC,09/10/2025 07:31:07,,,,,,"R$ 13,18",,13/10/2025 12:08:08,12059973,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104691901
47508411160439,23551,110,100,NF020,Rejeitado,21/10/2025 17:33:20,0,,110,000023551,47508411160439,DPEC/EPEC,09/10/2025 07:31:40,,,,,,"R$ 59,40",,13/10/2025 12:09:01,12060118,CIA BRASILEIRA DE DISTRIBUICAO,,Rejeicao: Data de Emissao muito atrasada,Rejeitado ,Rejeicao: Data de Emissao muito atrasada,VERMELHO-REJEITADO,104692001
